year,ACCESS-CM2,BCC-CSM2-MR,CanESM5,CNRM-CM6-1,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3_r1i1p1f1,EC-Earth3_r3i1p1f1,EC-Earth3_r4i1p1f1,GFDL-ESM4,HadGEM3-GC31-LL,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR_r1i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR,HadGEM3-GC31-MM,KIOST-ESM,MRI-ESM2-0
1883,0.083104211,0.16822937,-0.16362737,0.209028033,-0.331562311,-0.101881096,0.447874163,-0.494602863,-0.404223785,0.057791504,0.169044681,-0.163368859,0.216905752,0.097906841,0.077238848,-0.273797556,-0.067123937,0.022779978,0.027372204,-0.007180796
1884,-0.276963389,-0.17022173,-0.51994277,-0.208973567,-0.573839511,-0.628793296,0.158220263,-0.801901963,-0.876497885,-0.296546596,-0.056841119,-0.470092559,-0.151845548,-0.246082759,-0.351025152,-0.474022556,-0.364245437,-0.221485922,-0.416469296,-0.088088796
1885,-0.214669789,-0.20656073,-0.46626937,0.016362733,-0.302698811,-0.623710596,0.133583063,-0.817420263,-0.796954085,-0.244140496,-0.049925819,-0.304800859,-0.199417348,-0.299670959,-0.328626352,-0.284407556,-0.315607337,-0.213001822,-0.564393696,-0.197689796
1886,-0.208335889,-0.07476833,-0.32325157,0.071323333,-0.251701811,-0.421208596,0.195333163,-0.640731363,-0.822193985,-0.150651696,0.052240481,-0.370240159,-0.096843548,-0.182621159,-0.300004252,-0.166250556,-0.187982537,-0.168332022,-0.346336896,-0.043453196
1887,-0.053153489,-0.05927353,-0.30403297,-0.047740967,-0.403105111,-0.281567196,0.159518263,-0.656377263,-0.609875085,-0.089052096,0.078517081,-0.265808359,-0.058403648,0.011542941,-0.152627752,-0.244939756,-0.207070737,-0.109984722,-0.262811996,-0.082370796
1888,-0.036727089,0.12358577,-0.29326827,0.029418833,-0.399336911,-0.166140696,0.076711863,-0.594547163,-0.556153685,0.139957304,0.142179181,-0.106422759,0.150773052,0.075409141,0.003719848,-0.124689256,-0.082040537,-0.040581822,-0.248210796,-0.045030596
1889,0.002025211,0.09508787,-0.14469087,-0.033509867,-0.340132711,-0.227081696,0.280069163,-0.528067763,-0.568441185,0.205460504,0.130998581,-0.030188059,0.006317452,-0.127558059,-0.038507952,-0.229237856,0.110107763,0.028464778,-0.324141596,-0.047113596
1890,0.056683911,0.04134807,-0.06539307,-0.088809167,-0.399180011,-0.405838996,0.232874863,-0.421817163,-0.480253785,0.115439104,0.174666281,-0.145774459,-0.072685848,-0.238357859,-0.046385352,-0.102781756,0.084363763,-0.014216922,-0.355196896,-0.039746696
1891,0.022887611,0.10296897,-0.02765817,-0.049606767,-0.373206011,-0.316589196,0.196558963,-0.581903463,-0.581551885,0.133899704,0.217102381,-0.261037259,0.015822652,-0.212238259,-0.062265952,-0.151545956,-0.154456437,0.055895678,-0.368793396,0.114035704
1892,-0.134996189,-0.06804733,-0.05001037,-0.006044867,-0.224995311,-0.263963596,0.446375963,-0.665684663,-0.732663185,0.131763104,0.069938781,-0.170037859,0.020478552,0.034520741,0.011035148,-0.094280556,-0.207437037,-0.035438822,-0.219442496,0.101113104
